alpha,condition_number,rho,trial,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
6,1000000,0.01,18,1e-06,459.5152573750832,0.7956507083230794,45951.52573750832,79.56507083230794
6,1000000,0.01,19,1e-06,455.91394435481965,0.8107886797638336,45591.39443548196,81.07886797638336
8,100000000,0.0001,0,1e-06,217.23152623644398,0.7680446268681649,2172315.26236444,7680.4462686816505
8,100000000,0.0001,1,1e-06,168.21740956801713,0.7997529875390764,1682174.095680171,7997.529875390763
8,100000000,0.0001,2,1e-06,193.42318921325273,0.7852601607361653,1934231.8921325272,7852.601607361653
8,100000000,0.0001,3,1e-06,194.80624864510457,0.7868131570400162,1948062.4864510454,7868.131570400161
8,100000000,0.0001,4,1e-06,254.05501357795998,0.8244512019078272,2540550.1357795997,8244.51201907827
8,100000000,0.0001,5,1e-06,140.60550086638636,0.7636515956785681,1406055.0086638636,7636.515956785681
8,100000000,0.0001,6,1e-06,304.72217929289394,0.7364051706287237,3047221.792928939,7364.051706287237
8,100000000,0.0001,7,1e-06,377.1729777856187,0.796684909726654,3771729.7778561865,7966.8490972665395
8,100000000,0.0001,8,1e-06,279.13573859534796,0.8310156966338144,2791357.38595348,8310.156966338145
8,100000000,0.0001,9,1e-06,194.67235797905383,0.7825927138821038,1946723.5797905382,7825.927138821038
8,100000000,0.0001,10,1e-06,370.9804709916044,0.7478060051240273,3709804.7099160436,7478.060051240272
8,100000000,0.0001,11,1e-06,239.92032046810144,0.7744209474179601,2399203.204681014,7744.209474179601
8,100000000,0.0001,12,1e-06,281.51420293172066,0.69941220614096,2815142.0293172067,6994.122061409601
8,100000000,0.0001,13,1e-06,386.9180758603038,0.7427777118986273,3869180.758603038,7427.777118986272
8,100000000,0.0001,14,1e-06,236.67583757041672,0.7838597711466293,2366758.375704167,7838.597711466293
8,100000000,0.0001,15,1e-06,338.59183493816323,0.748005055416308,3385918.349381632,7480.05055416308
8,100000000,0.0001,16,1e-06,229.3846066105813,0.740791374889044,2293846.066105813,7407.91374889044
8,100000000,0.0001,17,1e-06,251.93831776761547,0.7944008134208806,2519383.1776761543,7944.008134208805
8,100000000,0.0001,18,1e-06,269.04901002434315,0.7204981375729657,2690490.1002434315,7204.981375729656
8,100000000,0.0001,19,1e-06,316.6719498936245,0.7613580531528071,3166719.498936245,7613.580531528071
8,100000000,0.001,0,1e-06,2178.132578453704,0.8030164355044888,2178132.578453704,803.0164355044888
8,100000000,0.001,1,1e-06,2889.4274953948247,0.7948606190888998,2889427.4953948245,794.8606190888999
8,100000000,0.001,2,1e-06,2280.055405798476,0.7963353098628718,2280055.4057984757,796.3353098628718
8,100000000,0.001,3,1e-06,2662.811557503399,0.7635604733704393,2662811.557503399,763.5604733704392
8,100000000,0.001,4,1e-06,3048.6179977357906,0.7881262118644935,3048617.9977357904,788.1262118644935
8,100000000,0.001,5,1e-06,3204.995118656019,0.7565587227634367,3204995.1186560187,756.5587227634367
8,100000000,0.001,6,1e-06,2408.1567352469547,0.7692436978957751,2408156.735246955,769.2436978957752
8,100000000,0.001,7,1e-06,2436.3401409466173,0.7604171654187466,2436340.1409466173,760.4171654187465
